2024-10-22 17:34:14.692 INFO  56815 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@244a3377, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@787fce91, org.springframework.security.web.context.SecurityContextHolderFilter@6735aa84, org.springframework.security.web.header.HeaderWriterFilter@27d5b352, org.springframework.web.filter.CorsFilter@1fb1068c, org.springframework.security.web.authentication.logout.LogoutFilter@7fc6977, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@3f363fd, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@f2a786f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@32458462, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4b3577bc, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@54f85d2c, org.springframework.security.web.access.ExceptionTranslationFilter@7fd97acd, org.springframework.security.web.access.intercept.AuthorizationFilter@56660b90]
2024-10-22 17:34:14.908 INFO  56815 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-10-22 17:34:14.939 INFO  56815 --- [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port 8000 (http) with context path ''
2024-10-22 17:34:14.947 INFO  56815 --- [restartedMain] c.p.polychatbe.PolychatBeApplication : Started PolychatBeApplication in 3.808 seconds (process running for 4.292)
2024-10-22 17:35:09.020 INFO  56815 --- [http-nio-8000-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-10-22 17:35:09.020 INFO  56815 --- [http-nio-8000-exec-2] o.s.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2024-10-22 17:35:09.022 INFO  56815 --- [http-nio-8000-exec-2] o.s.web.servlet.DispatcherServlet : Completed initialization in 2 ms
2024-10-22 17:35:09.075 ERROR 56815 --- [http-nio-8000-exec-2] c.p.p.c.error.GlobalControllerAdvice : Unexpected Error occurs JSON parse error: Unexpected character ('u' (code 117)): was expecting double-quote to start field name
2024-10-22 17:35:18.549 ERROR 56815 --- [http-nio-8000-exec-4] c.p.p.c.error.GlobalControllerAdvice : Unexpected Error occurs JSON parse error: Unexpected character ('u' (code 117)): was expecting double-quote to start field name
2024-10-22 17:38:28.989 INFO  56815 --- [File Watcher] o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener : Restarting due to 2 class path changes (0 additions, 0 deletions, 2 modifications)
